	TF1	TF2
Cell0	0.0001	0.0001
Cell1	0.0585	0.0818
Cell2	0.0001	0.0001
Cell3	0.0029	0.0064
Cell4	0.0001	0.0001
Cell5	0.0001	0.0001
Cell6	0.0001	0.0001
Cell7	0.0001	0.0001
Cell8	0.0001	0.0001
Cell9	0.0354	0.0589
Cell10	0.0004	0.0001
Cell11	0.0055	0.005
Cell12	0.0001	0.0001
Cell13	0.0001	0.0001
Cell14	0.0269	0.0202
Cell15	0.0001	0.0001
Cell16	0.0237	0.0194
Cell17	0.0001	0.0001
Cell18	0.0001	0.0001
Cell19	0.1554	0.1026
Cell20	0.0006	0.0006
Cell21	0.1123	0.1733
Cell22	0.0001	0.0001
Cell23	0.0001	0.0001
Cell24	0.0003	0.0001
Cell25	0.7648	0.8772
Cell26	0.6521	0.714
Cell27	0.511	0.4131
Cell28	0.0001	0.0001
Cell29	0.0001	0.0001
Cell30	0.0001	0.0001
Cell31	0.0001	0.0001
Cell32	0.0033	0.0114
Cell33	0.0001	0.0001
Cell34	0.0001	0.0001
Cell35	0.0001	0.0001
Cell36	0.0001	0.0001
Cell37	0.0001	0.0001
Cell38	0.0001	0.0001
Cell39	0.0001	0.0001
Cell40	0.0001	0.0001
Cell41	0.0169	0.0073
Cell42	0.0001	0.0001
Cell43	0.5821	0.569
Cell44	0.0001	0.0001
Cell45	0.0001	0.0001
Cell46	0.0001	0.0001
Cell47	0.0005	0.0003
Cell48	0.0001	0.0001
Cell49	0.0001	0.0002
Cell50	0.0001	0.0001
Cell51	0.0183	0.0416
Cell52	0.0001	0.0001
Cell53	0.0001	0.0001
Cell54	0.0001	0.0001
Cell55	0.6341	0.5756
Cell56	0.0001	0.0001
Cell57	0.0001	0.0001
Cell58	0.0001	0.0001
Cell59	0.0001	0.0001
Cell60	0.0001	0.0001
Cell61	0.0001	0.0001
Cell62	0.0071	0.0103
Cell63	0.0001	0.0001
Cell64	0.0012	0.0012
Cell65	0.6834	0.4694
Cell66	0.0001	0.0001
Cell67	0.0014	0.0032
Cell68	0.0001	0.0001
Cell69	0.0001	0.0001
Cell70	0.0001	0.0001
Cell71	0.0001	0.0001
Cell72	0.0001	0.0001
Cell73	0.0001	0.0001
Cell74	0.0001	0.0001
Cell75	0.0001	0.0001
Cell76	0.3389	0.3259
Cell77	0.0001	0.0001
Cell78	0.0001	0.0001
Cell79	0.0001	0.0001
Cell80	0.0001	0.0001
Cell81	0.0221	0.0156
Cell82	0.0001	0.0001
Cell83	0.0001	0.0001
Cell84	0.0001	0.0001
Cell85	0.0001	0.0001
Cell86	0.4257	0.5756
Cell87	0.001	0.0015
Cell88	0.2801	0.4446
Cell89	0.0001	0.0001
Cell90	0.0006	0.0001
Cell91	0.0001	0.0001
Cell92	0.0001	0.0001
Cell93	0.0001	0.0001
Cell94	0.0077	0.0033
Cell95	0.0001	0.0001
Cell96	0.0001	0.0001
Cell97	0.0001	0.0001
Cell98	0.4077	0.6521
Cell99	0.0001	0.0001
