Symbols,count,actual_rank_sum,actual_negative_rank_sum,actual_min_rank_sum,up_down_tuple,total_rank_sum,total_rank_sum_lt_actual_rs,random_ranks,negative_random_ranks,rank_sum,negative_rank_sum,auc,is_min_enough
ABCB1,"[1, 1, 1]",327,915,327,"(3, 0)",45171478,2061083,"[300, 99, 86]",[114 315 328],485,757,0.045627973474766534,True
AR,"[1, -1, -1]",938,304,304,"(1, 2)",45996708,1299904,"[365, 273, 412]",[ 49 141   2],1050,192,0.028260805099356242,True
ARNT,"[1, 1, 1, 1, -1]",1055,1015,1015,"(4, 1)",82933196,38210879,"[2, 6, 59, 121, 293]",[412 408 355 293 121],481,1589,0.4607428730951114,False
ATF2,"[1, 1, 1, 1, 1, 1]",1307,1177,1177,"(6, 0)",100728486,39892773,"[92, 365, 86, 121, 364, 330]",[322  49 328 293  50  84],1358,1126,0.39604261499572224,False
ATF4,"[1, 1, 1, 1, 1, 1, -1]",798,2100,798,"(6, 1)",120692650,1052073,"[20, 200, 300, 153, 59, 141, 355]",[394 214 114 261 355 273  59],1228,1670,0.008716959980578767,True
BCL6,"[1, -1, -1]",1090,152,152,"(1, 2)",46012965,81664,"[364, 412, 50]",[ 50   2 364],826,416,0.001774804123142249,True
BRCA1,"[-1, 1, 1, 1, 1, -1]",1472,1012,1012,"(4, 2)",102511212,17295323,"[141, 153, 20, 364, 328, 131]",[273 261 394  50  86 283],1137,1347,0.16871640343107056,False
CBFB,"[1, -1, 1]",608,634,608,"(2, 1)",45939002,21397717,"[6, 283, 261]",[408 131 153],550,692,0.46578541257818357,False
CDKN1A,"[-1, 1, 1]",713,529,529,"(2, 1)",45978291,13235172,"[6, 330, 114]",[408  84 300],450,792,0.287856980156135,False
CEBPB,"[1, 1, 1]",284,958,284,"(3, 0)",45174153,1159581,"[330, 121, 86]",[ 84 293 328],537,705,0.025669125439939072,True
CREB1,"[1, 1, 1]",986,256,256,"(3, 0)",45306151,746553,"[86, 2, 365]",[328 412  49],453,789,0.01647796123753704,True
CREBBP,"[1, 1, 1, 1, 1, 1, 1, 1]",1378,1934,1378,"(8, 0)",138288887,25290174,"[389, 86, 141, 364, 6, 99, 59, 20]",[ 25 328 273  50 408 315 355 394],1164,2148,0.1828792938365322,False
DNMT1,"[-1, 1, -1]",856,386,386,"(1, 2)",45941905,3421083,"[92, 50, 214]",[322 364 200],356,886,0.07446541452732533,True
E2F1,"[-1, 1, 1, 1, 1, 1, 1, -1]",1757,1555,1555,"(6, 2)",140899003,50131260,"[20, 2, 99, 330, 86, 364, 261, 322]",[394 412 315  84 328  50 153  92],1484,1828,0.35579570424639556,False
EGR1,"[1, -1, -1, 1, 1, 1]",983,1501,983,"(4, 2)",102505246,14452308,"[2, 330, 121, 389, 412, 322]",[412  84 293  25   2  92],1576,908,0.14099091084567517,True
ELK1,"[-1, 1, 1]",560,682,560,"(2, 1)",45968735,16276776,"[200, 121, 408]",[214 293   6],729,513,0.3540836179198753,False
EP300,"[1, 1, 1, 1, 1, 1, 1]",1240,1658,1240,"(7, 0)",119418918,27502285,"[6, 153, 121, 364, 389, 20, 2]",[408 261 293  50  25 394 412],1055,1843,0.23030090592513994,False
ERG,"[1, 1, 1]",272,970,272,"(3, 0)",45199253,955532,"[121, 6, 2]",[293 408 412],129,1113,0.021140437874050705,True
ESR1,"[-1, 1, 1, -1, 1, 1, 1, 1]",1898,1414,1414,"(6, 2)",140792685,27000069,"[364, 283, 6, 92, 2, 20, 131, 50]",[ 50 131 408 322 412 394 283 364],948,2364,0.1917718168383535,False
EZH2,"[1, -1, -1]",878,364,364,"(1, 2)",45985032,2715259,"[153, 412, 214]",[261   2 200],779,463,0.05904658280981516,True
FOS,"[1, -1, 1, 1, 1, -1, 1, 1, 1]",1516,2210,1516,"(7, 2)",160213224,19607179,"[141, 364, 283, 59, 300, 20, 6, 214, 322]",[273  50 131 355 114 394 408 200  92],1709,2017,0.12238177667531365,True
FOSL1,"[-1, 1, 1, 1]",946,710,710,"(3, 1)",64352911,17284378,"[300, 330, 20, 273]",[114  84 394 141],923,733,0.26858735263739664,False
FOSL2,"[1, 1, 1, 1]",612,1044,612,"(4, 0)",63394226,9248538,"[153, 86, 364, 200]",[261 328  50 214],803,853,0.14588928020037661,True
FOXA1,"[1, 1, 1]",805,437,437,"(3, 0)",45288834,6400638,"[2, 153, 6]",[412 261 408],161,1081,0.14132927334803982,True
FOXM1,"[1, 1, 1]",1003,239,239,"(3, 0)",45211847,584615,"[99, 59, 364]",[315 355  50],522,720,0.012930571051432603,True
FOXO1,"[1, 1, -1]",563,679,563,"(2, 1)",45925330,16416271,"[20, 389, 273]",[394  25 141],682,560,0.35745570037275726,False
FOXO3,"[1, 1, 1, 1]",793,863,793,"(4, 0)",63439034,27178003,"[6, 92, 153, 20]",[408 322 261 394],271,1385,0.42841136263203505,False
HBP1,"[-1, -1, -1]",485,757,485,"(0, 3)",45292368,9581844,"[49, 355, 315]",[365  59  99],719,523,0.21155537727680743,False
HDAC1,"[-1, -1, -1, 1, -1, -1, -1]",1397,1501,1397,"(1, 6)",120670551,50874918,"[200, 412, 84, 315, 355, 114, 50]",[214   2 330  99  59 300 364],1530,1368,0.42160177092420836,False
