Symbols,count,actual_min_rank_sum,IsPosNeg,totalCount,rank_sum_less_than_actual,p-value
ABCB1,"[1, 1, 1]",327,Positive,3,16459,0.16459
AR,"[1, -1, -1]",304,Negative,3,13216,0.13216
ARNT,"[1, 1, 1, 1, -1]",1015,Negative,5,93915,0.93915
ATF2,"[1, 1, 1, 1, 1, 1]",1177,Negative,6,82675,0.82675
ATF4,"[1, 1, 1, 1, 1, 1, -1]",798,Positive,7,3685,0.03685
BCL6,"[1, -1, -1]",152,Negative,3,1623,0.01623
BRCA1,"[-1, 1, 1, 1, 1, -1]",1012,Negative,6,43699,0.43699
CBFB,"[1, -1, 1]",608,Positive,3,95160,0.9516
CDKN1A,"[-1, 1, 1]",529,Negative,3,67197,0.67197
CEBPB,"[1, 1, 1]",284,Positive,3,10710,0.1071
CREB1,"[1, 1, 1]",256,Negative,3,7793,0.07793
CREBBP,"[1, 1, 1, 1, 1, 1, 1, 1]",1378,Positive,8,41418,0.41418
DNMT1,"[-1, 1, -1]",386,Negative,3,27098,0.27098
E2F1,"[-1, 1, 1, 1, 1, 1, 1, -1]",1555,Negative,8,76587,0.76587
EGR1,"[1, -1, -1, 1, 1, 1]",983,Positive,6,38216,0.38216
ELK1,"[-1, 1, 1]",560,Positive,3,77943,0.77943
EP300,"[1, 1, 1, 1, 1, 1, 1]",1240,Positive,7,51291,0.51291
ERG,"[1, 1, 1]",272,Positive,3,9332,0.09332
ESR1,"[-1, 1, 1, -1, 1, 1, 1, 1]",1414,Negative,8,47748,0.47748
EZH2,"[1, -1, -1]",364,Negative,3,22666,0.22666
FOS,"[1, -1, 1, 1, 1, -1, 1, 1, 1]",1516,Positive,9,33396,0.33396
FOSL1,"[-1, 1, 1, 1]",710,Negative,4,63208,0.63208
FOSL2,"[1, 1, 1, 1]",612,Positive,4,37758,0.37758
FOXA1,"[1, 1, 1]",437,Negative,3,39289,0.39289
FOXM1,"[1, 1, 1]",239,Negative,3,6330,0.0633
FOXO1,"[1, 1, -1]",563,Positive,3,78991,0.78991
FOXO3,"[1, 1, 1, 1]",793,Positive,4,88595,0.88595
HBP1,"[-1, -1, -1]",485,Positive,3,53138,0.53138
HDAC1,"[-1, -1, -1, 1, -1, -1, -1]",1397,Positive,7,86910,0.8691
HIF1A,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, 1]",1878,Positive,10,61279,0.61279
IL10,"[-1, -1, -1, -1, -1]",749,Negative,5,29257,0.29257
IL8,"[1, 1, -1]",302,Positive,3,12910,0.1291
ING4,"[1, -1, -1]",541,Positive,3,71377,0.71377
IRF1,"[1, 1, 1, -1, 1]",154,Negative,5,21,0.00021
JUN,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",2974,Positive,15,77334,0.77334
JUND,"[1, -1, 1]",526,Negative,3,66178,0.66178
KAT2A,"[1, 1, 1]",390,Positive,3,27929,0.27929
KAT2B,"[-1, 1, 1]",186,Positive,3,2970,0.0297
KLF4,"[1, 1, 1, -1]",652,Positive,4,47350,0.4735
MAML1,"[1, -1, -1]",257,Negative,3,7882,0.07882
MAPK1,"[1, 1, 1]",578,Negative,3,84277,0.84277
MAPK3,"[1, 1, 1]",578,Negative,3,84277,0.84277
MAX,"[-1, 1, 1, 1, -1, 1, -1, 1]",1495,Negative,8,63726,0.63726
MYC,"[-1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1]",2181,Negative,11,80781,0.80781
MYCN,"[1, -1, 1]",322,Positive,3,15727,0.15727
NCOA1,"[1, 1, 1]",350,Positive,3,20159,0.20159
NCOA6,"[1, 1, 1]",506,Positive,3,59654,0.59654
NELFCD,"[-1, -1, 1]",313,Positive,3,14420,0.1442
NFKB1,"[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]",1458,Negative,10,10405,0.10405
NFKBIA,"[-1, -1, -1]",588,Positive,3,87870,0.8787
NOTCH1,"[1, 1, 1]",537,Positive,3,69999,0.69999
NOTCH3,"[1, -1, -1, 1]",518,Positive,4,20121,0.20121
NPM1,"[1, -1, 1]",510,Positive,3,60959,0.60959
NR1I2,"[-1, 1, 1, 1]",571,Positive,4,29189,0.29189
NR3C1,"[-1, -1, -1, 1, 1]",871,Positive,5,54763,0.54763
PML,"[-1, 1, -1]",386,Positive,3,27098,0.27098
PPARA,"[1, 1, -1, 1, 1]",627,Positive,5,12791,0.12791
PPARD,"[1, 1, 1, -1]",637,Negative,4,43582,0.43582
PPARG,"[1, 1, -1]",207,Positive,3,4100,0.041
RB1,"[1, -1, -1]",612,Positive,3,96576,0.96576
RBMX,"[-1, 1, -1]",401,Negative,3,30370,0.3037
RBPJ,"[1, 1, 1]",525,Negative,3,65837,0.65837
RELA,"[1, 1, -1, 1, 1, 1, 1, 1, 1]",1644,Negative,9,54362,0.54362
RUNX3,"[-1, 1, -1, 1, -1, -1, 1]",712,Positive,7,1712,0.01712
SIRT1,"[-1, -1, -1]",569,Positive,3,81155,0.81155
SMARCA4,"[1, 1, -1, -1]",400,Positive,4,7157,0.07157
SNAI1,"[-1, 1, -1]",363,Positive,3,22488,0.22488
SOX6,"[-1, -1, 1]",313,Positive,3,14420,0.1442
SP1,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2802,Negative,14,82847,0.82847
SP3,"[1, 1, 1]",350,Positive,3,20159,0.20159
SRF,"[1, 1, 1]",408,Positive,3,31949,0.31949
STAT1,"[1, -1, 1, 1, -1, 1, 1, 1, 1]",1674,Positive,9,60046,0.60046
STAT3,"[1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1]",3520,Negative,18,68035,0.68035
STAT4,"[1, 1, 1, -1]",704,Negative,4,61486,0.61486
STAT5A,"[1, 1, 1]",349,Positive,3,19999,0.19999
STAT6,"[1, -1, 1]",587,Negative,3,87516,0.87516
TFAP2A,"[1, -1, 1]",567,Negative,3,80439,0.80439
TP53,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1]",2834,Positive,17,16068,0.16068
TP63,"[1, -1, 1, 1, -1]",853,Positive,5,50399,0.50399
USF1,"[1, 1, 1]",256,Negative,3,7793,0.07793
USF2,"[1, 1, 1]",470,Negative,3,48715,0.48715
ZBTB17,"[-1, -1, 1, -1]",604,Negative,4,36018,0.36018
