Symbols,count,actual_min_rank_sum,IsPosNeg,up_down_tuple,rank_sum_less_than_actual,p-value
ABCB1,"[1, 1, 1]",327,Positive,"(3, 0)",16323,0.16323
AR,"[1, -1, -1]",304,Negative,"(1, 2)",13322,0.13322
ARNT,"[1, 1, 1, 1, -1]",1015,Negative,"(4, 1)",94022,0.94022
ATF2,"[1, 1, 1, 1, 1, 1]",1177,Negative,"(6, 0)",82590,0.8259
ATF4,"[1, 1, 1, 1, 1, 1, -1]",798,Positive,"(6, 1)",3756,0.03756
BCL6,"[1, -1, -1]",152,Negative,"(1, 2)",1636,0.01636
BRCA1,"[-1, 1, 1, 1, 1, -1]",1012,Negative,"(4, 2)",44164,0.44164
CBFB,"[1, -1, 1]",608,Positive,"(2, 1)",95246,0.95246
CDKN1A,"[-1, 1, 1]",529,Negative,"(2, 1)",67634,0.67634
CEBPB,"[1, 1, 1]",284,Positive,"(3, 0)",10808,0.10808
CREB1,"[1, 1, 1]",256,Negative,"(3, 0)",7941,0.07941
CREBBP,"[1, 1, 1, 1, 1, 1, 1, 1]",1378,Positive,"(8, 0)",41563,0.41563
DNMT1,"[-1, 1, -1]",386,Negative,"(1, 2)",27200,0.272
E2F1,"[-1, 1, 1, 1, 1, 1, 1, -1]",1555,Negative,"(6, 2)",76821,0.76821
EGR1,"[1, -1, -1, 1, 1, 1]",983,Positive,"(4, 2)",38516,0.38516
ELK1,"[-1, 1, 1]",560,Positive,"(2, 1)",78274,0.78274
EP300,"[1, 1, 1, 1, 1, 1, 1]",1240,Positive,"(7, 0)",51379,0.51379
ERG,"[1, 1, 1]",272,Positive,"(3, 0)",9497,0.09497
ESR1,"[-1, 1, 1, -1, 1, 1, 1, 1]",1414,Negative,"(6, 2)",48060,0.4806
EZH2,"[1, -1, -1]",364,Negative,"(1, 2)",22821,0.22821
FOS,"[1, -1, 1, 1, 1, -1, 1, 1, 1]",1516,Positive,"(7, 2)",33737,0.33737
FOSL1,"[-1, 1, 1, 1]",710,Negative,"(3, 1)",63130,0.6313
FOSL2,"[1, 1, 1, 1]",612,Positive,"(4, 0)",38034,0.38034
FOXA1,"[1, 1, 1]",437,Negative,"(3, 0)",39066,0.39066
FOXM1,"[1, 1, 1]",239,Negative,"(3, 0)",6465,0.06465
FOXO1,"[1, 1, -1]",563,Positive,"(2, 1)",79317,0.79317
FOXO3,"[1, 1, 1, 1]",793,Positive,"(4, 0)",88528,0.88528
HBP1,"[-1, -1, -1]",485,Positive,"(0, 3)",52959,0.52959
HDAC1,"[-1, -1, -1, 1, -1, -1, -1]",1397,Positive,"(1, 6)",87050,0.8705
HIF1A,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, 1]",1878,Positive,"(7, 3)",61538,0.61538
IL10,"[-1, -1, -1, -1, -1]",749,Negative,"(0, 5)",29353,0.29353
IL8,"[1, 1, -1]",302,Positive,"(2, 1)",13135,0.13135
ING4,"[1, -1, -1]",541,Positive,"(1, 2)",71515,0.71515
IRF1,"[1, 1, 1, -1, 1]",154,Negative,"(4, 1)",15,0.00015
JUN,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",2974,Positive,"(14, 1)",77538,0.77538
JUND,"[1, -1, 1]",526,Negative,"(2, 1)",66653,0.66653
KAT2A,"[1, 1, 1]",390,Positive,"(3, 0)",27718,0.27718
KAT2B,"[-1, 1, 1]",186,Positive,"(2, 1)",3066,0.03066
KLF4,"[1, 1, 1, -1]",652,Positive,"(3, 1)",47550,0.4755
MAML1,"[1, -1, -1]",257,Negative,"(1, 2)",7914,0.07914
MAPK1,"[1, 1, 1]",578,Negative,"(3, 0)",84365,0.84365
MAPK3,"[1, 1, 1]",578,Negative,"(3, 0)",84365,0.84365
MAX,"[-1, 1, 1, 1, -1, 1, -1, 1]",1495,Negative,"(5, 3)",64212,0.64212
MYC,"[-1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1]",2181,Negative,"(7, 4)",81041,0.81041
MYCN,"[1, -1, 1]",322,Positive,"(2, 1)",15902,0.15902
NCOA1,"[1, 1, 1]",350,Positive,"(3, 0)",20069,0.20069
NCOA6,"[1, 1, 1]",506,Positive,"(3, 0)",59560,0.5956
NELFCD,"[-1, -1, 1]",313,Positive,"(1, 2)",14508,0.14508
