Symbols,count,actual_min_rank_sum,IsPosNeg,up_down_tuple,rank_sum_less_than_actual,p-value
ABCB1,"[1, 1, 1]",327,Positive,"(3, 0)",16394,0.16394
AR,"[1, -1, -1]",304,Negative,"(1, 2)",13163,0.13163
ARNT,"[1, 1, 1, 1, -1]",1015,Negative,"(4, 1)",94062,0.94062
ATF2,"[1, 1, 1, 1, 1, 1]",1177,Negative,"(6, 0)",82661,0.82661
ATF4,"[1, 1, 1, 1, 1, 1, -1]",798,Positive,"(6, 1)",3768,0.03768
BCL6,"[1, -1, -1]",152,Negative,"(1, 2)",1605,0.01605
BRCA1,"[-1, 1, 1, 1, 1, -1]",1012,Negative,"(4, 2)",44069,0.44069
CBFB,"[1, -1, 1]",608,Positive,"(2, 1)",95181,0.95181
CDKN1A,"[-1, 1, 1]",529,Negative,"(2, 1)",67411,0.67411
CEBPB,"[1, 1, 1]",284,Positive,"(3, 0)",10771,0.10771
CREB1,"[1, 1, 1]",256,Negative,"(3, 0)",7904,0.07904
CREBBP,"[1, 1, 1, 1, 1, 1, 1, 1]",1378,Positive,"(8, 0)",41690,0.4169
DNMT1,"[-1, 1, -1]",386,Negative,"(1, 2)",27007,0.27007
E2F1,"[-1, 1, 1, 1, 1, 1, 1, -1]",1555,Negative,"(6, 2)",76685,0.76685
EGR1,"[1, -1, -1, 1, 1, 1]",983,Positive,"(4, 2)",38545,0.38545
ELK1,"[-1, 1, 1]",560,Positive,"(2, 1)",77985,0.77985
EP300,"[1, 1, 1, 1, 1, 1, 1]",1240,Positive,"(7, 0)",51465,0.51465
ERG,"[1, 1, 1]",272,Positive,"(3, 0)",9448,0.09448
ESR1,"[-1, 1, 1, -1, 1, 1, 1, 1]",1414,Negative,"(6, 2)",48077,0.48077
EZH2,"[1, -1, -1]",364,Negative,"(1, 2)",22667,0.22667
FOS,"[1, -1, 1, 1, 1, -1, 1, 1, 1]",1516,Positive,"(7, 2)",33763,0.33763
FOSL1,"[-1, 1, 1, 1]",710,Negative,"(3, 1)",63412,0.63412
FOSL2,"[1, 1, 1, 1]",612,Positive,"(4, 0)",38293,0.38293
FOXA1,"[1, 1, 1]",437,Negative,"(3, 0)",39254,0.39254
FOXM1,"[1, 1, 1]",239,Negative,"(3, 0)",6414,0.06414
FOXO1,"[1, 1, -1]",563,Positive,"(2, 1)",79027,0.79027
FOXO3,"[1, 1, 1, 1]",793,Positive,"(4, 0)",88701,0.88701
HBP1,"[-1, -1, -1]",485,Positive,"(0, 3)",53030,0.5303
HDAC1,"[-1, -1, -1, 1, -1, -1, -1]",1397,Positive,"(1, 6)",87127,0.87127
