Symbols	upDownList	targetList	upDownCount	RS	whichRS	whichRSList	rankLessThanActual	pValue	pValueCorrected
BRCA1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1, -1, 1]	['SIRT1', 'MDC1', 'E2F1', 'ESR1', 'VEGFA', 'ATR', 'ATM', 'FANCI', 'MYC', 'STAT1', 'RAD51D', 'EP300', 'RBL2', 'RBL1', 'CHEK1', 'CDKN1A', 'DDIT3', 'IRF9', 'E2F6', 'E2F4', 'FANCD2', 'EGFR', 'KLK3']	23	3934	-1	"[ 79  24 254 305 102  36 335  35 244 307   1 294  85 287 283  31 155 372
 139 119 222 146  79]"	60	0.006	0.17857142857142858
LEF1	[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['CDKN2A', 'CTNNB1', 'MYC', 'SNAI2', 'TCF7', 'CCND1', 'TCF7L2', 'SALL4', 'MITF', 'MMP7']	10	1306	+1	[204 260  18  33 182  22  51 172  65 299]	61	0.0061	0.17857142857142858
GTF2H4	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'FANCD2']	8	986	-1	[315  24   1 335  36  35  85 155]	100	0.01	0.17857142857142858
MNAT1	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATM', 'ATR', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155 335  36   1  35  85]	100	0.01	0.17857142857142858
CCNT2	[1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'BRCA1', 'FANCI', 'ATR', 'ATM', 'CHEK1', 'FANCD2', 'MDC1']	8	986	-1	[  1 315  35  36 335  85 155  24]	100	0.01	0.17857142857142858
CCNK	[1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'RAD51D', 'FANCI', 'CHEK1', 'MDC1', 'FANCD2', 'BRCA1']	8	986	-1	[335  36   1  35  85  24 155 315]	100	0.01	0.17857142857142858
CCNH	[1, 1, 1, 1, 1, 1, 1, 1]	['ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1', 'MDC1', 'FANCD2', 'BRCA1']	8	986	-1	[ 36 335   1  35  85  24 155 315]	100	0.01	0.17857142857142858
GTF2H1	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2']	8	986	-1	[315  24   1  36 335  35  85 155]	100	0.01	0.17857142857142858
SUPT16H	[1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'FANCI', 'RAD51D', 'CHEK1', 'FANCD2', 'MDC1', 'BRCA1']	8	986	-1	[335  36  35   1  85 155  24 315]	100	0.01	0.17857142857142858
SUPT4H1	[1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'FANCI', 'RAD51D', 'CHEK1', 'MDC1', 'FANCD2', 'BRCA1']	8	986	-1	[335  36  35   1  85  24 155 315]	100	0.01	0.17857142857142858
SUPT5H	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'FANCD2', 'MDC1', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	8	986	-1	[315 155  24  35 335  36   1  85]	100	0.01	0.17857142857142858
GTF2H3	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2']	8	986	-1	[315  24   1  36 335  35  85 155]	100	0.01	0.17857142857142858
CDK12	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1', 'FANCD2']	8	986	-1	[315  24  35 335  36   1  85 155]	100	0.01	0.17857142857142858
GTF2H5	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'FANCD2']	8	986	-1	[315  24   1 335  36  35  85 155]	100	0.01	0.17857142857142858
CTDP1	[1, 1, 1, 1, 1, 1, 1, 1]	['ATR', 'ATM', 'FANCI', 'RAD51D', 'CHEK1', 'FANCD2', 'MDC1', 'BRCA1']	8	986	-1	[ 36 335  35   1  85 155  24 315]	100	0.01	0.17857142857142858
TCEA1	[1, 1, 1, 1, 1, 1, 1, 1]	['FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1', 'FANCD2', 'BRCA1', 'MDC1']	8	986	-1	[ 35 335  36   1  85 155 315  24]	100	0.01	0.17857142857142858
CDK7	[1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'RAD51D', 'FANCI', 'CHEK1', 'MDC1', 'BRCA1', 'FANCD2']	8	986	-1	[335  36   1  35  85  24 315 155]	100	0.01	0.17857142857142858
ELOA3B	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'FANCD2', 'BRCA1', 'MDC1', 'RAD51D', 'FANCI', 'ATM', 'ATR']	8	986	-1	[ 85 155 315  24   1  35 335  36]	100	0.01	0.17857142857142858
ELOA3	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	8	986	-1	[315  24 335  36  35  85   1 155]	100	0.01	0.17857142857142858
ELOA2	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	8	986	-1	[315  24 335  36  35  85   1 155]	100	0.01	0.17857142857142858
ELOA	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155  36 335   1  35  85]	100	0.01	0.17857142857142858
ELOA3D	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'FANCD2', 'BRCA1', 'MDC1', 'RAD51D', 'FANCI', 'ATM', 'ATR']	8	986	-1	[ 85 155 315  24   1  35 335  36]	100	0.01	0.17857142857142858
ELOB	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155  36 335   1  35  85]	100	0.01	0.17857142857142858
ERCC3	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATM', 'ATR', 'FANCI']	8	986	-1	[ 85 315  24 155   1 335  36  35]	100	0.01	0.17857142857142858
ELOC	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155  36 335   1  35  85]	100	0.01	0.17857142857142858
NELFE	[1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2', 'BRCA1', 'MDC1']	8	986	-1	[  1  36 335  35  85 155 315  24]	100	0.01	0.17857142857142858
